narration_id,participant_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,start_frame,stop_frame,narration,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes
P01_01_63,P01,P01_01,05:20.0,05:22.8,05:28.2,19366,19690,cut celery,cut,7,celery,223,['celery'],[223]
P01_01_64,P01,P01_01,05:32.2,05:28.3,05:38.1,19696,20284,still cutting celery,cut,7,celery,223,['celery'],[223]
P01_01_65,P01,P01_01,05:41.3,05:41.6,05:46.2,20498,20772,pour celery onto pan,pour-onto,9,celery,223,"['celery', 'pan']","[223, 5]"
P01_01_66,P01,P01_01,05:44.5,05:46.0,05:47.7,20760,20860,put down cutting board and knife,put-down,1,board:cutting,18,"['board:cutting', 'knife']","[18, 4]"
P01_01_67,P01,P01_01,05:51.9,05:47.3,05:53.8,20839,21227,take celery,take,0,celery,223,['celery'],[223]
P01_01_68,P01,P01_01,05:53.2,05:54.1,05:58.4,21245,21506,throw things into garbage bin,throw-into,13,bin:garbage,36,['bin:garbage'],[36]
P01_01_69,P01,P01_01,05:58.3,06:00.2,06:01.8,21612,21710,open fridge,open,3,fridge,12,['fridge'],[12]
P01_01_70,P01,P01_01,06:00.0,06:00.8,06:03.1,21645,21784,put celery back into fridge,put-into,5,celery,223,"['celery', 'fridge']","[223, 12]"
P01_01_71,P01,P01_01,06:01.8,06:03.1,06:04.2,21784,21849,close fridge,close,4,fridge,12,['fridge'],[12]
P01_01_72,P01,P01_01,06:06.1,06:07.3,06:08.3,22040,22100,take spatula,take,0,spatula,20,['spatula'],[20]
P01_01_73,P01,P01_01,06:07.1,06:08.4,06:18.0,22102,22681,stir something,stir,10,spatula,20,['spatula'],[20]
P01_01_74,P01,P01_01,06:16.3,06:17.8,06:19.3,22669,22758,put down spatula,put-down,1,spatula,20,['spatula'],[20]
P01_01_75,P01,P01_01,06:18.0,06:19.3,06:21.2,22755,22872,open container,open,3,container,21,['container'],[21]
P01_01_76,P01,P01_01,06:22.8,06:21.5,06:24.9,22891,23091,take onion,take,0,onion,16,['onion'],[16]
P01_01_77,P01,P01_01,06:20.1,06:24.0,06:24.8,23040,23085,take onion,take,0,onion,16,['onion'],[16]
P01_01_78,P01,P01_01,06:23.8,06:24.9,06:25.6,23091,23134,put down onion,put-down,1,onion,16,['onion'],[16]
P01_01_79,P01,P01_01,06:26.8,06:25.5,06:28.4,23128,23302,close container,close,4,container,21,['container'],[21]
P01_01_80,P01,P01_01,06:27.8,06:30.5,06:31.3,23431,23476,take spatula,take,0,spatula,20,['spatula'],[20]
P01_01_81,P01,P01_01,06:29.5,06:30.9,06:32.1,23457,23527,take knife,take,0,knife,4,['knife'],[4]
P01_01_82,P01,P01_01,06:30.5,06:32.6,06:38.7,23555,23925,cut onion,cut,7,onion,16,['onion'],[16]
P01_01_83,P01,P01_01,06:50.5,06:35.4,06:47.0,23724,24421,still cutting onion,cut,7,onion,16,['onion'],[16]
P01_01_84,P01,P01_01,06:39.7,06:48.4,07:02.2,24503,25330,still cutting onion,cut,7,onion,16,['onion'],[16]
P01_01_85,P01,P01_01,07:04.3,07:04.7,07:06.4,25481,25585,put down knife,put-down,1,knife,4,['knife'],[4]
P01_01_86,P01,P01_01,07:06.5,07:07.0,07:09.4,25617,25761,take kettle,take,0,kettle,44,['kettle'],[44]
P01_01_87,P01,P01_01,07:09.1,07:09.7,07:13.8,25784,26028,open tap,turn-on,6,tap,0,['tap'],[0]
P01_01_88,P01,P01_01,07:10.1,07:09.9,07:17.8,25794,26266,pour water into kettle,pour-into,9,water,27,"['water', 'kettle']","[27, 44]"
P01_01_89,P01,P01_01,07:18.2,07:17.0,07:23.2,26220,26589,still pouring water,pour,9,water,27,['water'],[27]
P01_01_90,P01,P01_01,07:19.9,07:21.5,07:22.3,26490,26535,close tap,turn-off,8,tap,0,['tap'],[0]
P01_01_91,P01,P01_01,07:24.0,07:25.1,07:27.1,26706,26827,turn kettle on,turn-on,6,kettle,44,['kettle'],[44]
P01_01_92,P01,P01_01,07:28.2,07:30.1,07:30.8,27004,27048,take spatula,take,0,spatula,20,['spatula'],[20]
P01_01_93,P01,P01_01,07:29.9,07:30.6,07:38.3,27033,27498,stir vegetables,stir,10,vegetable,94,['vegetable'],[94]
P01_01_94,P01,P01_01,07:41.5,07:35.6,07:44.7,27334,27884,still stirring vegetables,stir,10,vegetable,94,['vegetable'],[94]
P01_01_95,P01,P01_01,07:47.7,07:47.5,07:48.5,28050,28113,take glass,take,0,glass,10,['glass'],[10]
P01_01_96,P01,P01_01,07:46.5,07:49.1,07:50.3,28148,28219,take glass,take,0,glass,10,['glass'],[10]
P01_01_97,P01,P01_01,07:49.7,07:51.5,07:52.7,28287,28362,open cupboard,open,3,cupboard,3,['cupboard'],[3]
P01_01_98,P01,P01_01,07:52.0,07:54.2,07:57.2,28450,28633,put glass into cupboard,put-into,5,glass,10,"['glass', 'cupboard']","[10, 3]"
P01_01_99,P01,P01_01,07:55.6,07:56.7,07:59.3,28604,28759,close cupboard,close,4,cupboard,3,['cupboard'],[3]
P01_01_100,P01,P01_01,07:57.9,07:59.8,08:00.9,28785,28852,take cup,take,0,cup,13,['cup'],[13]
P01_01_101,P01,P01_01,08:00.0,08:01.5,08:02.2,28888,28932,open cupboard,open,3,cupboard,3,['cupboard'],[3]
P01_01_102,P01,P01_01,08:01.2,08:02.1,08:03.0,28927,28980,put cup into cupboard,put-into,5,cup,13,"['cup', 'cupboard']","[13, 3]"
P01_01_103,P01,P01_01,08:03.9,08:05.2,08:07.2,29113,29232,take container and lid,take,0,container,21,"['container', 'lid']","[21, 6]"
P01_01_104,P01,P01_01,08:07.6,08:08.4,08:09.1,29302,29347,put container on top of counter,put-on,1,container,21,"['container', 'top:counter']","[21, 42]"
P01_01_105,P01,P01_01,08:09.9,08:12.0,08:12.7,29520,29564,open container,open,3,container,21,['container'],[21]
P01_01_106,P01,P01_01,08:12.9,08:13.2,08:14.4,29593,29662,put container inside container,put-inside,5,container,21,"['container', 'container']","[21, 21]"
P01_01_107,P01,P01_01,08:14.6,08:15.8,08:17.0,29748,29819,close lid,close,4,lid,6,['lid'],[6]
P01_01_108,P01,P01_01,08:18.0,08:19.6,08:20.6,29978,30036,put container in cupboard,put-in,5,container,21,"['container', 'cupboard']","[21, 3]"
P01_01_109,P01,P01_01,08:21.0,08:22.4,08:23.3,30141,30198,take plate,take,0,plate,2,['plate'],[2]
P01_01_110,P01,P01_01,08:25.7,08:24.7,08:27.9,30279,30475,put plate down,put-down,1,plate,2,['plate'],[2]
P01_01_111,P01,P01_01,08:26.8,08:28.2,08:29.9,30489,30596,open drawer,open,3,drawer,8,['drawer'],[8]
P01_01_112,P01,P01_01,08:29.9,08:29.3,08:31.5,30557,30692,take something,take,0,drawer,8,['drawer'],[8]
P01_01_113,P01,P01_01,08:32.2,08:32.7,08:34.4,30759,30865,put down something,put-down,1,drawer,8,['drawer'],[8]
P01_01_114,P01,P01_01,08:35.2,08:36.8,08:38.1,31008,31082,open drawer,open,3,drawer,8,['drawer'],[8]
P01_01_115,P01,P01_01,08:36.5,08:37.9,08:39.1,31072,31147,take fork,take,0,fork,14,['fork'],[14]
P01_01_116,P01,P01_01,08:37.6,08:39.3,08:40.3,31160,31215,put down fork,put-down,1,fork,14,['fork'],[14]
P01_01_117,P01,P01_01,08:39.1,08:41.2,08:42.1,31271,31324,take spatula,take,0,spatula,20,['spatula'],[20]
P01_01_118,P01,P01_01,08:40.7,08:41.9,08:48.6,31315,31713,stir vegetables,stir,10,vegetable,94,['vegetable'],[94]
P01_01_120,P01,P01_01,09:00.6,09:02.0,09:03.0,32522,32578,take container,take,0,container,21,['container'],[21]
P01_01_121,P01,P01_01,09:04.1,09:06.4,09:07.4,32783,32845,open fridge,open,3,fridge,12,['fridge'],[12]
P01_01_122,P01,P01_01,09:05.3,09:07.4,09:09.0,32844,32940,put container into fridge,put-into,5,container,21,"['container', 'fridge']","[21, 12]"
P01_01_123,P01,P01_01,09:07.3,09:09.3,09:10.0,32956,33001,close fridge,close,4,fridge,12,['fridge'],[12]
P01_01_124,P01,P01_01,09:11.5,09:13.4,09:14.5,33204,33269,take spatula,take,0,spatula,20,['spatula'],[20]
P01_01_125,P01,P01_01,09:12.5,09:14.7,09:18.5,33279,33510,stir vegetables,stir,10,vegetable,94,['vegetable'],[94]
P01_01_126,P01,P01_01,09:19.4,09:21.1,09:22.3,33667,33739,take grater,take,0,grater,96,['grater'],[96]
P01_01_127,P01,P01_01,09:30.3,09:21.1,09:22.5,33667,33751,take grater,take,0,grater,96,['grater'],[96]
P01_01_128,P01,P01_01,09:20.7,09:22.1,09:22.8,33724,33768,take carrots,take,0,carrot,41,['carrot'],[41]
P01_01_129,P01,P01_01,09:23.2,09:24.2,09:28.8,33855,34130,cut carrots,cut,7,carrot,41,['carrot'],[41]
P01_01_130,P01,P01_01,09:24.2,09:29.2,09:31.0,34150,34261,drop grater,drop,59,grater,96,['grater'],[96]
P01_01_131,P01,P01_01,09:34.9,09:34.4,09:46.9,34465,35215,grate carrots,grate,77,carrot,41,['carrot'],[41]
P01_01_132,P01,P01_01,09:49.0,09:47.0,09:55.6,35221,35734,still grating carrots,grate,77,carrot,41,['carrot'],[41]
P01_01_133,P01,P01_01,10:13.6,09:50.3,10:00.7,35417,36043,still grating carrot,grate,77,carrot,41,['carrot'],[41]
P01_01_134,P01,P01_01,10:23.0,10:02.2,10:39.0,36131,38339,still grating carrot,grate,77,carrot,41,['carrot'],[41]
P01_01_135,P01,P01_01,10:37.7,10:39.5,10:40.3,38370,38416,put down grater,put-down,1,grater,96,['grater'],[96]
P01_01_136,P01,P01_01,10:39.6,10:41.8,10:42.8,38508,38569,throw carrot into bin,throw-into,13,carrot,41,"['carrot', 'bin']","[41, 36]"
P01_01_137,P01,P01_01,10:42.7,10:44.5,10:45.3,38669,38719,take grater,take,0,grater,96,['grater'],[96]
P01_01_138,P01,P01_01,10:48.1,10:49.7,10:50.8,38980,39046,put down grater,put-down,1,grater,96,['grater'],[96]
P01_01_139,P01,P01_01,10:50.5,10:52.8,10:53.8,39166,39229,throw carrot into bin,throw-into,13,carrot,41,"['carrot', 'bin']","[41, 36]"
P01_01_140,P01,P01_01,10:52.6,10:54.7,10:55.7,39285,39345,take spatula,take,0,spatula,20,['spatula'],[20]
P01_01_141,P01,P01_01,10:53.8,10:55.7,11:01.0,39343,39657,stir vegetables,stir,10,vegetable,94,['vegetable'],[94]
P01_01_142,P01,P01_01,11:01.0,11:02.6,11:03.5,39753,39813,open cupboard,open,3,cupboard,3,['cupboard'],[3]
P01_01_143,P01,P01_01,11:05.0,11:03.5,11:05.3,39813,39918,take saucepan,take,0,saucepan,5,['saucepan'],[5]
P01_01_144,P01,P01_01,11:10.5,11:07.3,11:14.2,40038,40449,put down saucepan,put-down,1,saucepan,5,['saucepan'],[5]
P01_01_145,P01,P01_01,11:13.9,11:15.0,11:17.0,40500,40619,turn hob,turn,23,hob,24,['hob'],[24]
P01_01_146,P01,P01_01,11:18.3,11:19.5,11:22.3,40770,40937,take kettle,take,0,kettle,44,['kettle'],[44]
P01_01_147,P01,P01_01,11:22.7,11:23.4,11:37.4,41004,41841,pour water into saucepan,pour-into,9,water,27,"['water', 'saucepan']","[27, 5]"
P01_01_148,P01,P01_01,11:25.8,11:26.6,11:31.6,41193,41493,see boiling water,see,38,water:boiling,27,['water:boiling'],[27]
P01_01_149,P01,P01_01,11:38.1,11:39.1,11:41.9,41944,42114,put down kettle,put-down,1,kettle,44,['kettle'],[44]
P01_01_150,P01,P01_01,11:42.5,11:43.9,11:45.4,42231,42324,take olive oil,take,0,oil:olive,31,['oil:olive'],[31]
P01_01_151,P01,P01_01,11:45.9,11:47.9,11:53.1,42472,42784,pour oil,pour,9,oil,31,['oil'],[31]
P01_01_152,P01,P01_01,11:53.3,11:53.1,11:56.4,42788,42983,close oil,close,4,oil,31,['oil'],[31]
P01_01_153,P01,P01_01,11:54.5,11:56.5,11:57.8,42989,43069,put down oil,put-down,1,oil,31,['oil'],[31]
P01_01_154,P01,P01_01,11:56.2,11:57.9,11:58.8,43075,43128,take spatula,take,0,spatula,20,['spatula'],[20]
P01_01_155,P01,P01_01,11:57.8,11:59.0,12:00.0,43141,43202,take cutting board with onion,take,0,board:cutting,18,"['board:cutting', 'onion']","[18, 16]"
P01_01_156,P01,P01_01,11:59.2,12:00.4,12:02.4,43227,43342,pouring onion,pour,9,onion,16,['onion'],[16]
P01_01_157,P01,P01_01,12:01.5,12:02.5,12:03.6,43347,43413,put down cutting board,put-down,1,board:cutting,18,['board:cutting'],[18]
P01_01_158,P01,P01_01,12:02.5,12:03.7,12:11.5,43422,43888,stir vegetables,stir,10,vegetable,94,['vegetable'],[94]
P01_01_159,P01,P01_01,12:19.4,12:10.4,12:30.1,43822,45004,still stirring vegetables,stir,10,vegetable,94,['vegetable'],[94]
P01_01_160,P01,P01_01,12:29.0,12:30.4,12:31.5,45023,45091,take salt,take,0,salt,38,['salt'],[38]
P01_01_161,P01,P01_01,12:30.0,12:31.6,12:33.1,45097,45189,open salt,open,3,salt,38,['salt'],[38]
P01_01_162,P01,P01_01,12:31.0,12:32.7,12:34.0,45165,45240,put down salt,put-down,1,salt,38,['salt'],[38]
P01_01_163,P01,P01_01,12:32.0,12:33.1,12:34.5,45185,45269,open drawer,open,3,drawer,8,['drawer'],[8]
P01_01_164,P01,P01_01,12:34.5,12:34.9,12:36.7,45297,45402,take spoon,take,0,spoon,1,['spoon'],[1]
P01_01_165,P01,P01_01,12:36.3,12:37.8,12:41.6,45468,45695,pour salt onto spoon,pour-onto,9,salt,38,"['salt', 'spoon']","[38, 1]"
P01_01_166,P01,P01_01,12:40.3,12:42.2,12:43.6,45729,45819,pour salt into water,pour-into,9,salt,38,"['salt', 'water']","[38, 27]"
P01_01_167,P01,P01_01,12:41.6,12:42.7,12:44.4,45763,45862,stir water,stir,10,water,27,['water'],[27]
P01_01_168,P01,P01_01,12:43.3,12:44.9,12:45.8,45894,45945,close salt,close,4,salt,38,['salt'],[38]
P01_01_169,P01,P01_01,12:44.5,12:46.1,12:46.8,45966,46006,put down spoon,put-down,1,spoon,1,['spoon'],[1]
P01_01_170,P01,P01_01,12:46.1,12:47.5,12:49.4,46050,46164,put down salt,put-down,1,salt,38,['salt'],[38]
P01_01_171,P01,P01_01,12:48.1,12:49.5,12:50.3,46172,46216,take spatula,take,0,spatula,20,['spatula'],[20]
P01_01_172,P01,P01_01,12:51.7,12:50.3,12:51.3,46215,46279,stir vegetables,stir,10,vegetable,94,['vegetable'],[94]
P01_01_173,P01,P01_01,12:50.7,12:51.4,12:52.7,46284,46359,adjust hob,adjust,17,hob,24,['hob'],[24]
P01_01_174,P01,P01_01,12:49.1,12:54.7,13:28.3,46483,48495,stir vegetables,stir,10,vegetable,94,['vegetable'],[94]
P01_01_175,P01,P01_01,13:06.9,12:55.7,13:01.6,46540,46897,still stirring vegetables,stir,10,vegetable,94,['vegetable'],[94]
P01_01_176,P01,P01_01,13:27.2,13:09.3,13:39.7,47359,49179,still stirring vegetables,stir,10,vegetable,94,['vegetable'],[94]
P01_01_177,P01,P01_01,13:38.5,13:39.5,13:40.9,49172,49252,put down spatula,put-down,1,spatula,20,['spatula'],[20]
P01_01_178,P01,P01_01,13:39.6,13:41.2,13:42.4,49273,49344,open cupboard,open,3,cupboard,3,['cupboard'],[3]
P01_01_179,P01,P01_01,13:43.3,13:42.4,13:45.2,49344,49510,take something,take,0,cupboard,3,['cupboard'],[3]
P01_01_180,P01,P01_01,13:44.3,13:44.3,13:45.8,49456,49546,put down something,put-down,1,knife,4,['knife'],[4]
P01_01_181,P01,P01_01,13:46.4,13:46.9,13:48.6,49614,49716,take rice,take,0,rice,55,['rice'],[55]
P01_01_182,P01,P01_01,13:51.1,13:49.2,13:55.3,49753,50118,open rice,open,3,rice,55,['rice'],[55]
P01_01_183,P01,P01_01,13:57.6,13:59.1,14:00.4,50348,50426,put down rice,put-down,1,rice,55,['rice'],[55]
P01_01_184,P01,P01_01,13:59.0,14:00.7,14:01.6,50442,50498,take spatula,take,0,spatula,20,['spatula'],[20]
P01_01_185,P01,P01_01,14:00.0,14:01.7,14:07.3,50504,50836,stir vegetables,stir,10,vegetable,94,['vegetable'],[94]
P01_01_186,P01,P01_01,14:14.2,14:07.4,14:24.1,50842,51846,still stirring vegetables,stir,10,vegetable,94,['vegetable'],[94]
P01_01_187,P01,P01_01,14:22.4,14:24.3,14:25.3,51855,51918,put down spatula,put-down,1,spatula,20,['spatula'],[20]
P01_01_188,P01,P01_01,14:24.1,14:26.0,14:27.3,51960,52036,take tofu,take,0,tofu,81,['tofu'],[81]
P01_01_189,P01,P01_01,14:28.2,14:29.6,14:31.0,52175,52261,take knife,take,0,knife,4,['knife'],[4]
P01_01_190,P01,P01_01,14:31.8,14:30.9,14:35.1,52252,52506,cut tofu sleeve,cut,7,tofu,81,['tofu'],[81]
P01_01_191,P01,P01_01,14:35.7,14:35.5,14:45.1,52528,53104,open tofu container,open,3,container:tofu,21,['container:tofu'],[21]
P01_01_192,P01,P01_01,14:44.2,14:45.9,14:49.2,53155,53350,pour tofu onto pan,pour-onto,9,tofu,81,"['tofu', 'pan']","[81, 5]"
P01_01_193,P01,P01_01,14:45.3,14:49.5,14:50.9,53371,53455,put down tofu container,put-down,1,container:tofu,21,['container:tofu'],[21]
P01_01_194,P01,P01_01,14:49.5,14:50.9,15:04.3,53452,54256,stir vegetables and tofu,stir,10,vegetable,94,"['vegetable', 'tofu']","[94, 81]"
P01_01_195,P01,P01_01,15:02.7,15:04.2,15:05.2,54250,54310,put down spatula,put-down,1,spatula,20,['spatula'],[20]
P01_01_196,P01,P01_01,15:06.3,15:05.3,15:08.2,54316,54491,take tofu container,take,0,container:tofu,21,['container:tofu'],[21]
P01_01_197,P01,P01_01,15:10.0,15:09.3,15:11.5,54559,54688,throw something into the bin,throw-into,13,bin,36,['bin'],[36]
P01_01_198,P01,P01_01,15:07.8,15:11.4,15:13.6,54685,54815,throw something into the bin,throw-into,13,bin,36,['bin'],[36]
P01_01_199,P01,P01_01,15:15.5,15:17.6,15:18.4,55056,55105,throw tupperware container into the bin,throw-into,13,container:tupperware,23,"['container:tupperware', 'bin']","[23, 36]"
P01_01_200,P01,P01_01,15:19.6,15:21.6,15:22.4,55298,55343,take spatula,take,0,spatula,20,['spatula'],[20]
P01_01_201,P01,P01_01,15:20.6,15:21.7,15:28.7,55299,55721,stir vegetables in tofu,stir,10,vegetable,94,"['vegetable', 'tofu']","[94, 81]"
P01_01_202,P01,P01_01,15:27.5,15:28.6,15:29.9,55717,55797,take rice,take,0,rice,55,['rice'],[55]
P01_01_203,P01,P01_01,15:37.0,15:31.8,15:37.6,55906,56256,pour rice into water,pour-into,9,rice,55,"['rice', 'water']","[55, 27]"
P01_01_204,P01,P01_01,15:28.5,15:38.5,15:42.9,56307,56577,pour rice into water,pour-into,9,rice,55,"['rice', 'water']","[55, 27]"
P01_01_205,P01,P01_01,15:46.1,15:45.5,15:51.6,56727,57096,fold rice bag,fold,28,bag:rice,19,['bag:rice'],[19]
P01_01_206,P01,P01_01,15:49.3,15:51.7,15:53.0,57102,57182,close rice bag,close,4,bag:rice,19,['bag:rice'],[19]
P01_01_207,P01,P01_01,15:52.0,15:54.0,15:55.0,57237,57300,open cupboard,open,3,cupboard,3,['cupboard'],[3]
